rank
1
2
3
4
5
6
7
8
9
10
11
12
13
14
14
16
16
18
19
20
21
22
23
24
25
26
27
28
29
29
31
32
33
33
35
36
37
37
39
40
41
42
43
43
45
46
46
48
49
50
51
52
53
54
54
56
57
58
59
60
61
62
63
64
64
66
67
67
69
70
71
72
72
74
75
76
77
78
79
80
81
82
82
82
85
86
87
88
88
90
91
92
93
94
95
96
97
98
98
100
1
2
3
4
5
6
7
8
8
10
11
12
13
14
15
16
17
18
18
20
21
22
23
24
25
26
27
28
29
30
30
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
46
48
49
50
51
52
53
54
55
56
57
57
59
60
60
62
63
64
65
66
68
69
71
72
73
74
75
75
77
78
79
79
81
82
82
84
85
85
87
88
89
89
91
92
92
94
95
96
97
98
99
99
1
2
3
4
5
6
6
8
9
10
11
11
13
14
15
16
17
18
19
19
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
36
38
39
40
41
43
44
44
44
48
49
50
51
52
53
54
55
56
57
58
59
60
61
61
63
64
64
66
67
68
68
70
71
72
72
74
75
76
77
77
79
80
81
82
82
84
85
86
87
88
89
90
90
92
92
94
95
96
97
98
98
100
1
2
3
4
5
6
7
8
9
10
11
12
13
13
15
16
17
18
19
20
21
22
23
24
25
26
26
28
29
30
31
32
32
34
34
36
37
38
39
40
41
42
44
45
46
47
48
49
50
50
52
53
53
55
55
55
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
72
74
75
76
77
78
79
80
80
83
84
85
86
87
87
89
90
91
92
92
94
94
96
97
98
99
100
1
2
3
4
5
5
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
25
27
28
29
30
31
31
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
62
64
65
66
67
68
69
70
71
72
73
74
75
75
75
78
79
80
81
82
83
84
84
86
86
88
89
90
91
91
93
94
95
95
97
98
98
100
1
2
3
4
5
6
7
7
9
10
11
12
13
14
14
14
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
39
41
42
43
44
45
46
47
48
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
68
70
71
72
73
74
75
76
77
79
80
80
82
83
84
85
86
87
88
89
90
90
92
93
94
95
96
97
98
99
100
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
34
36
37
38
39
40
40
43
44
45
46
47
47
49
49
51
51
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
74
76
77
78
79
81
82
83
84
85
86
87
88
89
91
91
93
94
95
96
99
100
100
1
2
3
4
5
6
7
8
8
10
11
12
13
14
15
16
17
19
20
21
22
23
24
25
26
28
29
30
31
32
33
34
35
36
36
38
39
39
41
42
43
44
45
46
47
48
49
50
51
52
53
53
55
56
57
58
58
60
61
62
63
64
65
66
66
66
69
70
71
72
73
73
75
76
76
78
79
80
81
81
83
84
84
86
87
87
89
90
91
92
93
93
95
96
97
98
99
99
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
41
42
43
44
45
46
47
47
49
50
51
52
53
54
55
55
57
57
59
60
62
63
64
65
66
67
67
69
70
71
72
73
74
75
76
77
78
79
80
81
82
83
84
85
86
87
88
89
90
91
92
93
94
94
96
97
97
99
100
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
