highest
good
allstar
rookie
good
bad
college
college
good
good
college
rookie
allstar
good
college
college
college
good
college
bad
college
bad
college
college
college
college
good
college
college
draft
bad
college
highSchoolB
college
great
college
college
college
bad
college
college
college
college
college
college
college
college
good
college
draft
college
college
college
college
bad
bad
college
college
bad
college
college
college
college
college
college
college
rookie
highSchoolB
college
college
college
good
college
good
highSchoolB
bad
college
college
college
college
bad
college
highSchoolB
good
college
college
college
bad
college
college
college
bad
college
college
college
college
college
college
college
college
college
bad
bad
rookie
bad
college
college
college
bad
great
bad
bad
bad
bad
great
college
college
good
college
bad
bad
good
good
college
college
allstar
great
draft
college
good
college
college
college
college
bad
college
bad
bad
good
bad
bad
college
rookie
highSchoolB
college
college
good
college
college
college
college
college
college
college
college
good
college
college
college
bad
college
great
great
bad
college
college
college
college
college
college
college
college
college
college
college
bad
college
college
great
college
college
highSchoolB
bad
college
college
highSchoolB
college
college
college
college
college
college
college
college
rookie
college
college
college
great
great
good
good
allstar
draft
good
bad
draft
bad
college
bad
college
highSchoolB
bad
college
college
college
college
college
college
college
bad
bad
college
bad
college
college
college
college
college
college
draft
college
bad
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
draft
college
college
college
college
college
college
college
college
college
college
highSchoolB
college
college
bad
good
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
highSchoolB
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
bad
college
bad
allstar
draft
bad
bad
great
draft
great
college
college
bad
college
college
good
good
good
college
bad
college
bad
bad
college
college
college
college
bad
bad
bad
college
college
bad
rookie
college
college
college
college
college
bad
good
college
college
college
college
college
college
college
college
college
college
college
college
college
highSchoolB
college
college
college
college
college
college
college
college
college
college
college
college
bad
college
college
highSchoolB
highSchoolB
college
college
college
college
college
college
college
college
college
college
college
college
bad
great
college
college
college
college
college
college
college
highSchoolB
college
college
good
college
great
allstar
good
bad
allstar
college
bad
bad
bad
highSchoolB
good
bad
college
college
college
college
college
bad
bad
bad
college
college
highSchoolB
college
highSchoolB
college
allstar
college
college
college
bad
college
college
draft
college
college
college
college
college
college
bad
college
college
college
great
good
college
allstar
college
college
bad
college
college
bad
college
bad
good
rookie
college
college
college
highSchoolB
college
college
college
college
college
college
college
college
bad
college
college
draft
college
college
college
bad
college
college
college
college
college
college
college
college
bad
highSchoolB
college
college
college
college
college
college
college
college
bad
college
college
college
allstar
great
bad
bad
good
allstar
college
college
bad
good
bad
bad
college
bad
bad
bad
college
bad
great
rookie
college
college
college
college
college
college
college
college
rookie
college
bad
bad
college
college
college
college
college
college
college
good
bad
college
bad
college
college
college
college
college
college
college
college
college
college
college
college
college
college
draft
college
college
college
good
college
allstar
college
rookie
bad
college
college
college
college
college
college
college
college
good
highSchoolB
bad
college
college
draft
college
college
college
college
college
college
college
college
college
rookie
bad
college
rookie
college
college
college
allstar
bad
great
allstar
great
bad
good
bad
bad
college
bad
allstar
bad
rookie
college
college
college
college
bad
bad
allstar
college
great
bad
good
good
college
college
allstar
draft
college
college
bad
bad
bad
college
college
college
college
college
college
draft
college
college
rookie
college
allstar
draft
college
college
college
rookie
college
college
college
college
college
college
college
college
draft
college
bad
college
college
college
bad
college
college
college
allstar
college
college
college
college
college
college
college
college
college
college
rookie
college
college
draft
college
bad
bad
college
college
college
college
college
college
good
college
great
good
good
bad
good
bad
draft
good
college
good
highSchoolB
good
college
great
great
bad
bad
college
college
college
college
bad
college
college
college
college
college
bad
college
college
draft
college
college
college
college
college
college
college
bad
college
college
bad
college
college
college
college
college
college
college
college
college
college
college
good
college
college
bad
college
great
college
college
college
college
college
college
college
college
college
college
college
draft
college
highSchoolB
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
good
college
college
bad
allstar
bad
bad
great
great
bad
bad
great
bad
bad
bad
bad
college
bad
rookie
rookie
draft
good
college
allstar
college
college
bad
college
bad
bad
college
bad
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
good
college
college
college
college
college
college
college
college
college
college
good
college
college
bad
college
college
bad
college
college
college
college
college
college
college
college
college
college
college
good
bad
college
college
college
highSchoolB
bad
bad
college
college
college
college
college
college
college
college
college
good
college
college
college
bad
college
draft
college
bad
allstar
good
bad
good
bad
bad
bad
bad
good
bad
good
allstar
college
bad
allstar
allstar
bad
rookie
bad
college
bad
bad
bad
college
college
college
bad
college
college
college
college
college
bad
college
good
college
college
great
college
college
college
college
college
college
good
rookie
college
college
college
bad
bad
college
college
great
college
draft
college
college
college
bad
good
college
college
college
college
college
college
college
bad
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
good
college
college
college
good
college
college
college
college
college
college
college
good
great
good
college
good
good
good
bad
good
college
college
college
rookie
bad
allstar
bad
bad
bad
bad
bad
college
college
good
rookie
college
college
highSchoolB
bad
college
bad
college
college
college
bad
college
bad
college
college
college
college
college
college
college
college
draft
college
college
college
college
college
college
college
highSchoolB
college
college
rookie
college
great
college
college
college
college
college
college
college
college
college
college
college
college
bad
college
draft
college
college
college
college
bad
college
college
draft
college
college
college
college
college
college
highSchoolB
college
college
bad
college
allstar
college
highSchoolB
college
college
college
good
allstar
allstar
bad
good
bad
college
good
college
draft
college
college
college
bad
college
draft
college
good
college
bad
college
bad
college
college
college
bad
rookie
bad
bad
college
rookie
bad
college
college
college
college
college
college
college
college
college
college
rookie
college
college
college
college
allstar
college
college
college
good
college
college
college
bad
college
college
college
college
college
college
highSchoolB
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
bad
bad
college
college
college
college
good
bad
bad
great
good
bad
good
bad
bad
bad
good
good
good
college
bad
rookie
good
college
draft
college
college
rookie
college
college
bad
college
bad
bad
bad
college
bad
college
bad
college
good
college
college
college
college
good
college
bad
college
college
college
college
highSchoolB
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
highSchoolB
great
college
bad
college
college
college
good
college
college
good
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
allstar
bad
good
good
bad
college
bad
college
college
good
bad
college
college
college
good
college
bad
college
college
rookie
bad
college
good
college
bad
college
college
college
college
draft
great
college
college
good
bad
college
bad
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
bad
good
college
great
great
bad
college
college
good
bad
rookie
college
bad
college
college
good
college
college
college
college
bad
college
good
bad
bad
college
college
college
college
college
college
college
college
college
college
bad
college
college
college
college
college
college
rookie
college
college
college
college
college
college
college
college
bad
college
college
college
college
college
college
college
college
college
college
college
college
college
college
bad
college
college
college
college
college
college
college
college
college
college
college
college
college
highSchoolB
college
college
college
college
bad
bad
bad
good
college
college
bad
bad
college
college
college
great
college
college
college
college
bad
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
bad
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
college
highSchoolB
college
college
college
college
college
college
college
college
college
college
college
rookie
rookie
rookie
bad
bad
rookie
bad
rookie
good
bad
bad
bad
good
bad
bad
bad
rookie
rookie
bad
bad
bad
bad
bad
good
good
rookie
bad
rookie
bad
bad
good
bad
rookie
bad
bad
bad
bad
bad
bad
bad
bad
allstar
rookie
bad
rookie
bad
bad
rookie
bad
rookie
rookie
rookie
bad
great
rookie
bad
rookie
bad
bad
bad
rookie
rookie
bad
bad
good
good
bad
allstar
bad
rookie
bad
rookie
allstar
good
bad
good
bad
bad
rookie
bad
bad
good
rookie
bad
bad
bad
bad
bad
good
rookie
bad
bad
bad
good
rookie
rookie
good
rookie
rookie
bad
bad
rookie
bad
bad
bad
bad
rookie
bad
bad
allstar
bad
bad
rookie
bad
bad
bad
great
bad
bad
rookie
bad
bad
bad
bad
rookie
bad
rookie
bad
rookie
bad
rookie
bad
bad
good
bad
bad
bad
rookie
bad
bad
good
rookie
great
rookie
bad
rookie
bad
good
great
bad
bad
bad
bad
rookie
bad
rookie
bad
rookie
bad
rookie
good
bad
bad
bad
bad
good
bad
bad
bad
bad
rookie
bad
bad
rookie
rookie
rookie
rookie
bad
bad
bad
bad
rookie
bad
bad
good
rookie
rookie
bad
bad
good
bad
bad
bad
good
bad
bad
bad
rookie
bad
great
bad
rookie
bad
rookie
bad
great
bad
rookie
bad
bad
good
bad
rookie
good
bad
bad
bad
rookie
rookie
bad
bad
rookie
bad
bad
bad
bad
bad
bad
rookie
bad
bad
rookie
rookie
bad
good
bad
bad
great
rookie
good
rookie
bad
bad
bad
rookie
bad
rookie
bad
bad
rookie
bad
good
bad
bad
bad
rookie
bad
rookie
rookie
rookie
bad
rookie
bad
bad
great
rookie
